"1.x_coordinates, 2.y_coordinates, 3.brightness, 4.mean_brightness, 5.max_brightness, 6.radius"
994.0,4604.5,5707.548913043472,3507.4891304347825,3713.0,3.203980934622934
984.5,4602.0,37.0,3456.0,3464.0,0.3989422804014327
762.0,4603.0,67.80000000000018,3452.9,3464.0,0.5641895835477563
751.0,4602.5,0.0,3455.333333333333,3462.0,0.0
721.5,4601.5,35.14285714285688,3454.142857142857,3467.0,0.3989422804014327
334.5,4602.0,0.0,3458.8,3471.0,0.0
324.5,4604.5,198.40000000000146,3458.6800000000003,3493.0,0.8920620580763856
274.0,4603.5,78.33333333333303,3458.1666666666665,3494.0,0.5641895835477563
263.0,4602.0,46.5,3465.5,3481.0,0.3989422804014327
2163.0,4601.5,0.0,3456.2000000000003,3462.0,0.0
2125.0,4601.5,59.0625,3458.375,3492.0,0.4886025119029199
1701.5,4600.0,17.25,3453.5,3462.0,0.28209479177387814
1532.5,4601.5,78.36363636363694,3458.1818181818185,3478.0,0.5641895835477563
1516.5,4601.5,24.6875,3468.375,3502.0,0.28209479177387814
1489.5,4601.5,0.0,3452.6666666666665,3465.0,0.0
1309.5,4601.5,0.0,3463.6000000000004,3485.0,0.0
1099.0,4600.5,44.14285714285688,3463.142857142857,3482.0,0.3989422804014327
543.0,4601.5,18.25,3455.5,3472.0,0.28209479177387814
476.0,4601.0,0.0,3474.4444444444443,3503.0,0.0
469.0,4601.5,55.37499999999977,3455.9166666666665,3483.0,0.4886025119029199
437.5,4603.0,39.600000000000364,3458.6000000000004,3491.0,0.3989422804014327
297.0,4604.0,270.23076923077133,3464.038461538462,3521.0,0.9772050238058398
289.0,4602.0,96.75000000000068,3457.7000000000003,3486.0,0.6307831305050401
259.5,4600.5,75.42857142857065,3456.7142857142853,3478.0,0.5641895835477563
1718.0,4600.5,93.888888888888,3456.555555555555,3480.0,0.6307831305050401
1416.0,4601.5,20.318181818181756,3459.6363636363635,3498.0,0.28209479177387814
1369.0,4601.0,0.0,3455.8571428571427,3467.0,0.0
1304.0,4600.5,0.0,3458.5,3479.0,0.0
1179.5,4600.0,19.083333333333258,3457.1666666666665,3465.0,0.28209479177387814
1138.5,4600.5,0.0,3453.6000000000004,3460.0,0.0
973.0,4600.0,66.0,3452.0,3462.0,0.5641895835477563
966.5,4600.5,0.0,3459.285714285714,3482.0,0.0
939.0,4600.0,20.083333333333258,3459.1666666666665,3470.0,0.28209479177387814
914.0,4599.5,18.666666666666515,3456.333333333333,3469.0,0.28209479177387814
902.0,4601.0,46.11111111111086,3465.111111111111,3491.0,0.3989422804014327
726.0,4600.5,79.71428571428532,3472.142857142857,3486.0,0.4886025119029199
626.5,4600.5,18.5,3456.0,3466.0,0.28209479177387814
423.0,4600.0,0.0,3459.6666666666665,3499.0,0.0
321.0,4600.5,43.57142857142844,3462.5714285714284,3498.0,0.3989422804014327
313.0,4603.5,213.8636363636374,3461.7727272727275,3504.0,0.8920620580763856
230.5,4600.0,16.416666666666515,3451.833333333333,3459.0,0.28209479177387814
218.0,4600.5,60.642857142856656,3459.428571428571,3466.0,0.4886025119029199
210.5,4600.0,0.0,3454.833333333333,3495.0,0.0
2024.5,4598.5,117.0,3458.0,3468.0,0.690988298942671
1927.5,4598.0,0.0,3459.4,3478.0,0.0
1551.0,4599.5,0.0,3467.6000000000004,3480.0,0.0
1496.5,4603.0,730.0543478260818,3460.7173913043475,3500.0,1.6688952945311364
1456.0,4598.0,0.0,3464.6666666666665,3477.0,0.0
1422.5,4599.0,107.70000000000027,3454.9,3474.0,0.690988298942671
1150.5,4598.5,0.0,3456.0,3477.0,0.0
1091.0,4599.0,43.428571428571104,3462.428571428571,3488.0,0.3989422804014327
1033.0,4599.0,73.92857142857133,3468.285714285714,3488.0,0.4886025119029199
936.0,4601.0,0.0,3452.8888888888887,3460.0,0.0
702.0,4600.0,256.6200000000001,3458.48,3493.0,1.0171072362820548
653.0,4600.0,221.5625,3463.3125,3493.0,0.8920620580763856
599.5,4599.0,18.64285714285711,3456.285714285714,3465.0,0.28209479177387814
554.5,4599.5,45.85714285714266,3464.8571428571427,3489.0,0.3989422804014327
418.5,4600.0,51.375,3453.25,3465.0,0.4886025119029199
409.5,4601.0,172.0588235294108,3457.235294117647,3482.0,0.8462843753216345
359.0,4599.5,76.5,3444.5,3464.0,0.690988298942671
306.5,4600.5,126.0,3461.0,3487.0,0.690988298942671
166.0,4599.5,18.57142857142844,3456.142857142857,3471.0,0.28209479177387814
1965.5,4599.0,35.22222222222217,3454.222222222222,3506.0,0.3989422804014327
1834.5,4599.0,36.75,3455.75,3465.0,0.3989422804014327
1427.0,4599.0,59.25,3458.5,3467.0,0.4886025119029199
1291.0,4598.0,16.07142857142844,3451.142857142857,3461.0,0.28209479177387814
1158.5,4598.5,0.0,3453.8,3463.0,0.0
1074.0,4602.5,843.0744680851033,3458.2127659574467,3529.0,1.8498192550829797
1073.5,4601.5,246.25,3443.625,3486.0,1.2615662610100802
1039.5,4597.5,71.14285714285688,3454.5714285714284,3476.0,0.5641895835477563
996.0,4598.0,63.0,3461.0,3480.0,0.4886025119029199
943.5,4597.5,111.85714285714266,3493.5714285714284,3710.0,0.4886025119029199
